"Time","count(kube_pod_status_phase{phase=""Running"", namespace=""default""})"
2025-12-07 16:40:30,3
2025-12-07 16:41:00,3
2025-12-07 16:41:30,3
2025-12-07 16:42:00,3
2025-12-07 16:42:30,3
2025-12-07 16:43:00,3
2025-12-07 16:43:30,3
2025-12-07 16:44:00,3
2025-12-07 16:44:30,3
2025-12-07 16:45:00,3
2025-12-07 17:11:30,3
2025-12-07 17:12:00,3
2025-12-07 17:12:30,3
2025-12-07 17:13:00,3
2025-12-07 17:13:30,3
2025-12-07 17:14:00,3
2025-12-07 17:14:30,3
2025-12-07 17:15:00,3
2025-12-07 17:15:30,3
2025-12-07 17:16:00,3
2025-12-07 17:16:30,3
2025-12-07 18:13:00,3
2025-12-07 18:13:30,3
2025-12-07 18:14:00,3
2025-12-07 18:14:30,3
2025-12-07 18:15:00,3
2025-12-07 18:15:30,3
2025-12-07 18:16:00,3
2025-12-07 18:16:30,3
2025-12-07 18:17:00,3
2025-12-07 18:17:30,3
2025-12-07 18:34:30,3
2025-12-07 18:35:00,3
2025-12-07 18:35:30,3
2025-12-07 18:36:00,3
2025-12-07 18:36:30,3
2025-12-07 18:37:00,3
2025-12-07 18:37:30,3
2025-12-07 18:38:00,3
2025-12-07 18:38:30,3
2025-12-07 18:39:00,3
2025-12-07 19:01:00,3
2025-12-07 19:01:30,3
2025-12-07 19:02:00,3
2025-12-07 19:02:30,3
2025-12-07 19:03:00,3
2025-12-07 19:03:30,3
2025-12-07 19:04:00,3
2025-12-07 19:04:30,3
2025-12-07 19:05:00,3
2025-12-07 19:05:30,3
2025-12-07 19:06:00,3
2025-12-07 19:06:30,3
2025-12-07 19:07:00,3
2025-12-07 19:07:30,3
2025-12-07 19:08:00,3
2025-12-07 19:08:30,3
2025-12-07 19:09:00,3
2025-12-07 19:09:30,3
2025-12-07 19:10:00,3
2025-12-07 19:10:30,3
2025-12-07 19:11:00,3
2025-12-07 19:11:30,3
2025-12-07 19:12:00,3
2025-12-07 19:12:30,3
